[2025-08-28 16:11:26] [INFO    ] discord.client: logging in using static token
[2025-08-28 16:11:26] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-08-28 16:11:26] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-08-28 16:11:26] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1374298425679548466', 'username': 'The UnderGround Bot', 'avatar': 'c8a83d1488d7ba667697f002aafb3137', 'discriminator': '6925', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': True, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-08-28 16:11:26] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-08-28 16:11:26] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-08-28 16:11:26] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1374298425679548466', 'name': 'The Underground Grotto Bot', 'icon': 'c8a83d1488d7ba667697f002aafb3137', 'description': 'Bot for The Underground Grotto', 'type': None, 'bot': {'id': '1374298425679548466', 'username': 'The UnderGround Bot', 'avatar': 'c8a83d1488d7ba667697f002aafb3137', 'discriminator': '6925', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '6c519762f0264a03f076068c3fa294f78cc51cc6e60316996cb824ce84bf7aa2', 'flags': 557056, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '1357051663822880879', 'username': '.thenocturnalone.', 'avatar': 'a99953012b19688322c530a303287fe9', 'discriminator': '0', 'public_flags': 64, 'flags': 64, 'banner': None, 'accent_color': 3607643, 'global_name': 'ʞɹɐᗡ lɐuɹnʇɔoN', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#370c5b', 'clan': {'identity_guild_id': '1273100568117641269', 'identity_enabled': True, 'tag': 'ROM', 'badge': '5410c0c04f21555354039fd700661550'}, 'primary_guild': {'identity_guild_id': '1273100568117641269', 'identity_enabled': True, 'tag': 'ROM', 'badge': '5410c0c04f21555354039fd700661550'}}, 'approximate_guild_count': 1, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 2276, 'monetization_state': 1, 'verification_eligibility_flags': 123804, 'monetization_eligibility_flags': 247524, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': []}
[2025-08-28 16:11:27] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-08-28 16:11:27] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-b-jhk3",{"micros":0.0}]']}}
[2025-08-28 16:11:27] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-08-28 16:11:27] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-28 16:11:27] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'The UnderGround Bot', 'primary_guild': None, 'mfa_enabled': True, 'id': '1374298425679548466', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '6925', 'clan': None, 'bot': True, 'avatar': 'c8a83d1488d7ba667697f002aafb3137'}, 'session_type': 'normal', 'session_id': 'daabd8b375d130b0022d3c38289b5456', 'resume_gateway_url': 'wss://gateway-us-east1-b.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1299618295011610644'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['us-central', 'us-east', 'newark', 'atlanta', 'us-south'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1374298425679548466', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-b-jhk3",{"micros":67911,"calls":["id_created",{"micros":553,"calls":[]},"session_lookup_time",{"micros":1429,"calls":[]},"session_lookup_finished",{"micros":10,"calls":[]},"discord-sessions-prd-2-130",{"micros":65146,"calls":["start_session",{"micros":54909,"calls":["discord-api-rpc-86bd45548c-g7pqr",{"micros":36195,"calls":["get_user",{"micros":5102},"get_guilds",{"micros":5426},"send_scheduled_deletion_message",{"micros":16},"guild_join_requests",{"micros":2},"authorized_ip_coro",{"micros":10},"pending_payments",{"micros":10749},"apex_experiments",{"micros":1798},"user_activities",{"micros":7},"played_application_ids",{"micros":1}]}]},"starting_guild_connect",{"micros":25,"calls":[]},"presence_started",{"micros":247,"calls":[]},"guilds_started",{"micros":47,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":9901,"calls":[]},"connect_finished",{"micros":9904,"calls":[]},"build_ready",{"micros":11,"calls":[]},"clean_ready",{"micros":0,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[2025-08-28 16:11:27] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-28 16:11:27] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: daabd8b375d130b0022d3c38289b5456).
[2025-08-28 16:11:27] [DEBUG   ] discord.client: Dispatching event connect
